,USA360
1887-09-19,1.0452912430080228
1887-09-20,1.047007754087908
1887-09-21,1.0523548196205483
1887-09-22,1.0595121337944962
1887-09-23,1.0557854394011643
1887-09-24,1.050244691325986
1887-09-26,1.0518587253056946
1887-09-27,1.060826214951193
1887-09-28,1.0661600752456322
1887-09-29,1.0660584541250355
1887-09-30,1.0677700221324429
1887-10-01,1.0652879205912658
1887-10-03,1.0524531902462269
1887-10-04,1.054164157333595
1887-10-05,1.0504530415263116
1887-10-06,1.0557795326774773
1887-10-07,1.0448437443017615
1887-10-08,1.0393226115957683
1887-10-10,1.0282760669722246
1887-10-11,1.0299926601721052
1887-10-12,1.008171634266749
1887-10-13,1.0171525652905007
1887-10-14,0.998931655129839
1887-10-15,0.9970236508845566
1887-10-17,1.0022897912393272
1887-10-18,1.0094577646560932
1887-10-19,1.007551635641614
1887-10-20,1.027408601297611
1887-10-21,1.0273142204471954
1887-10-22,1.0217917692156024
1887-10-24,1.0053116903969408
1887-10-25,1.0160984639406523
1887-10-26,1.0214377277223314
1887-10-27,1.0231535291439442
1887-10-28,1.0158230898552412
1887-10-29,1.0193505288526228
1887-10-31,1.011935309576814
1887-11-01,1.0258854515534965
1887-11-02,1.0257970286595084
1887-11-03,1.0239054545474064
1887-11-04,1.0400474061912302
1887-11-05,1.0345575165056207
1887-11-07,1.0343791757962004
1887-11-09,1.0378021859776265
1887-11-10,1.0287144511095592
1887-11-11,1.03943329028566
1887-11-12,1.0411427188355884
1887-11-14,1.0517543574977668
1887-11-15,1.0570521997274172
1887-11-16,1.0677310563244449
1887-11-17,1.0712246906783807
1887-11-18,1.0711323599146312
1887-11-19,1.0656644657860423
1887-11-21,1.0618953495939976
1887-11-22,1.0635968920133787
1887-11-23,1.0724681138605958
1887-11-25,1.0704924749030114
1887-11-26,1.0668186339141366
1887-11-28,1.054095632303359
1887-11-29,1.0540047779236548
1887-11-30,1.0485332833011336
1887-12-01,1.0401802111163931
1887-12-02,1.0472373453567836
1887-12-03,1.0489326622077164
1887-12-05,1.05767574566013
1887-12-06,1.0486721064409115
1887-12-07,1.0450139762023243
1887-12-08,1.0342164968402785
1887-12-09,1.0412740835397507
1887-12-10,1.0358297239189898
1887-12-12,1.0231507923224876
1887-12-13,1.019487048679452
1887-12-14,1.0319196964232296
1887-12-15,1.0282592326004465
1887-12-16,1.0299576629830196
1887-12-17,1.0316554507730407
1887-12-19,1.0261219553223713
1887-12-20,1.024247732274145
1887-12-21,1.0277329128521757
1887-12-22,1.0312161102195398
1887-12-23,1.0382669248668848
1887-12-27,1.0414775784266173
1887-12-28,1.0378243335115813
1887-12-29,1.044865484228796
1887-12-30,1.041213899264613
1888-01-03,1.0390826208055333
1888-01-04,1.0354327973477844
1888-01-05,1.0389094804033256
1888-01-06,1.0441652035123197
1888-01-07,1.04407752224249
1888-01-09,1.051020884807406
1888-01-10,1.0509326278481745
1888-01-11,1.045510697670054
1888-01-12,1.045422903415578
1888-01-13,1.0417779119471233
1888-01-14,1.0452486858720933
1888-01-16,1.0450731413667675
1888-01-17,1.0432073766201944
1888-01-18,1.043119775781582
1888-01-19,1.0323639118649104
1888-01-20,1.0304972838011799
1888-01-21,1.0339710095919743
